component_order	component	trait_order	trait	trait_label	scaled_ct_score	cumsum_scaled
9	11	10	Cholesterol	Cholesterol	0.000115586431674252	0.0267327584532045
9	11	11	Creatinine	Creatinine	4.65399553903832e-05	0.0273300674842109
9	11	12	Creatinine_in_urine	Creatinine in urine	1.56844382909523e-06	0.0274866927932969
9	11	13	Cystatin_C	Cystatin C	1.97147346179309e-06	0.0274847213198351
9	11	14	Direct_bilirubin	Direct bilirubin	0.000126929682360604	0.0264851424743434
9	11	15	eGFR	eGFR	4.56873019958423e-05	0.0273766074396012
9	11	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	5.75269445822636e-05	0.0272725405396286
9	11	17	Glucose	Glucose	0.000390874482876416	0.024766752128551
9	11	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	0.00193207376028504	0.0185699315452809
9	11	19	HDL_cholesterol	HDL cholesterol	3.20292775282061e-06	0.0274815183920823
9	11	20	IGF_1	IGF 1	0.000388708008779699	0.0251576266114275
9	11	21	LDL_direct	LDL direct	7.15487127097659e-05	0.0271392595680265
9	11	22	Lipoprotein_A	Lipoprotein A	0.000120686296500575	0.026612072156704
9	11	23	Microalbumin_in_urine	Microalbumin in urine	1.34351162880416e-05	0.0274580864165317
9	11	24	Non_albumin_protein	Non albumin protein	0.00682503693431897	0.00827661202953181
9	11	25	Phosphate	Phosphate	6.17322588923545e-05	0.0272108082807362
9	11	26	Potassium_in_urine	Potassium in urine	1.92113911934442e-07	0.027488261237126
9	11	27	SHBG	SHBG	0.00014579396941766	0.0263393485049257
9	11	28	Sodium_in_urine	Sodium in urine	9.99685926250656e-06	0.0274715215328198
9	11	29	Testosterone	Testosterone	7.98471520646917e-05	0.0270594124159618
9	11	30	Total_bilirubin	Total bilirubin	1.80665272409e-05	0.0274222947415971
9	11	31	Total_protein	Total protein	0.0012104216290186	0.0205020053055659
9	11	32	Triglycerides	Triglycerides	0.00827661202953181	0
9	11	33	Urate	Urate	0.000398587227777723	0.0243681649007733
9	11	34	Urea	Urea	0.000263355431261179	0.025889912480731
9	11	35	Vitamin_D	Vitamin D	0.000114994122961176	0.0268483448848788
10	10	1	Alanine_aminotransferase	Alanine aminotransferase	0.000460179370353362	0.01667668270427
10	10	2	Albumin	Albumin	0.00200668451188418	0.0104036585749025
10	10	3	Alkaline_phosphatase	Alkaline phosphatase	0.000309617029986174	0.0174608562233385
10	10	4	Apolipoprotein_A	Apolipoprotein A	0.000467644364452976	0.0162090383398171
10	10	5	Apolipoprotein_B	Apolipoprotein B	4.73860759983813e-05	0.0198405098470335
10	10	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.000303456945105591	0.0177704732533247
10	10	7	AST_ALT_ratio	AST ALT ratio	0.000227246321595856	0.0183205206503185
10	10	8	C_reactive_protein	C reactive protein	0.00750134449521583	0
10	10	9	Calcium	Calcium	0.000961586397488996	0.014261412416685
10	10	10	Cholesterol	Cholesterol	9.93691533746141e-05	0.0192504299667299
10	10	11	Creatinine	Creatinine	0.000323994148715087	0.0171368620746234
10	10	12	Creatinine_in_urine	Creatinine in urine	0.000116023602780785	0.0191344063639491
10	10	13	Cystatin_C	Cystatin C	9.02508621452557e-07	0.019902370936618
10	10	14	Direct_bilirubin	Direct bilirubin	9.38481220000418e-05	0.0193497991201045
10	10	15	eGFR	eGFR	0.000246590451888269	0.0180739301984303
10	10	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	9.29804990899028e-05	0.0194436472421046
10	10	17	Glucose	Glucose	2.58043925506096e-07	0.0199037649856845
10	10	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	1.01645633053247e-05	0.0198878959230319
10	10	19	HDL_cholesterol	HDL cholesterol	4.9705602372616e-05	0.0196922699841636
10	10	20	IGF_1	IGF 1	0.00290231407968669	0.00750134449521583
10	10	21	LDL_direct	LDL direct	2.29252394397895e-06	0.0198980604863372
10	10	22	Lipoprotein_A	Lipoprotein A	4.91540445093257e-07	0.0199032734452394
10	10	23	Microalbumin_in_urine	Microalbumin in urine	9.41016456922439e-07	0.019901429920161
